Matemática,Lenguaje,Ciencias,NEM,Colegio_Egreso,Sexo,Nota,asi_Cod
679,529,656,639,Subvencionado,M,4.8,530024
716,679,619,620,Privado,M,4.0,510145
601,652,563,598,Municipalizado,M,2.0,510145
646,667,613,578,Subvencionado,M,5.1,530024
830,667,697,744,Privado,M,6.3,510145
661,591,601,598,Privado,M,4.2,510145
636,683,637,598,Subvencionado,M,4.0,520145
637,592,528,620,Subvencionado,M,1.3,520145
616,673,617,661,Subvencionado,F,4.1,510145
688,620,614,639,Municipalizado,M,1.7,520145
575,573,574,518,Subvencionado,M,1.0,510145
673,614,623,579,Privado,M,1.0,520145
638,568,601,557,Subvencionado,M,3.0,510145
630,606,588,619,Subvencionado,M,4.3,530024
665,625,634,475,Subvencionado,M,2.8,510145
674,607,659,660,Municipalizado,M,4.6,520145
651,639,592,681,Subvencionado,F,2.5,510145
606,608,592,579,Municipalizado,M,2.3,520145
617,518,544,577,Subvencionado,M,2.1,510145
646,548,595,662,Municipalizado,F,4.6,510145
630,524,652,620,Subvencionado,M,1.8,510145
674,595,701,744,Municipalizado,M,3.6,510145
736,596,656,703,Subvencionado,M,5.3,520145
620,618,595,537,Subvencionado,M,2.4,510145
652,711,628,722,Subvencionado,F,3.7,510145
617,639,619,683,Municipalizado,M,4.0,530024
718,666,671,662,Privado,M,4.5,520145
694,561,641,640,Subvencionado,M,4.4,510145
580,525,533,722,Municipalizado,M,2.4,510145
687,731,677,579,Privado,M,1.0,510145
757,603,727,723,Privado,M,4.6,510145
624,571,507,702,Municipalizado,M,5.5,520145
614,579,629,496,Privado,M,1.0,510145
660,563,592,660,Subvencionado,M,4.0,510145
644,591,600,620,Subvencionado,M,2.3,520145
607,613,579,640,Municipalizado,M,4.9,510145
683,660,629,682,Municipalizado,M,2.6,510145
595,596,588,660,Subvencionado,F,2.7,510145
592,602,607,681,Subvencionado,M,3.2,520145
600,569,604,662,Subvencionado,M,5.1,510145
640,580,566,620,Subvencionado,M,4.0,520145
769,706,837,744,Privado,F,1.0,520145
707,592,624,764,Subvencionado,M,6.0,530024
622,613,624,580,Subvencionado,M,1.0,510145
669,733,595,702,Municipalizado,M,4.1,510145
616,638,619,682,Municipalizado,M,4.0,530024
669,568,642,475,Municipalizado,M,4.1,510145
681,639,676,600,Subvencionado,M,2.1,520145
633,583,598,556,Privado,M,4.2,520145
636,601,537,682,Municipalizado,M,4.2,520145
609,514,563,557,Subvencionado,M,3.6,510145
775,625,659,682,Subvencionado,M,4.5,530024
682,534,581,642,Subvencionado,M,4.0,510145
604,557,508,704,Subvencionado,M,3.2,520145
598,580,485,661,Municipalizado,M,1.0,520145
636,557,660,619,Municipalizado,M,4.5,530024
646,605,584,599,Municipalizado,F,4.2,520145
590,628,581,459,Privado,M,1.0,510145
732,745,701,743,Subvencionado,F,4.6,520145
680,619,584,598,Privado,M,1.0,520145
656,559,598,621,Subvencionado,M,2.7,520145
756,597,683,598,Municipalizado,M,4.0,510145
673,471,602,598,Municipalizado,M,4.0,520145
585,528,588,701,Subvencionado,M,2.5,520145
688,768,652,701,Privado,M,4.0,510145
582,536,553,682,Subvencionado,F,2.4,520145
616,696,662,495,Subvencionado,M,5.2,510145
673,644,652,619,Privado,F,4.4,530024
613,567,606,640,Subvencionado,F,5.7,520145
680,582,651,701,Privado,M,5.8,520145
686,580,581,722,Subvencionado,M,5.2,530024
830,701,696,701,Subvencionado,M,5.2,510145
693,651,677,661,Privado,F,6.0,520145
609,633,607,702,Municipalizado,F,3.4,510145
712,637,662,723,Municipalizado,M,4.3,520145
530,546,469,661,Municipalizado,M,3.6,520145
668,632,616,577,Subvencionado,M,2.6,520145
670,520,567,619,Subvencionado,M,4.4,510145
641,651,606,620,Subvencionado,M,5.4,520145
609,637,628,702,Municipalizado,M,2.8,520145
713,646,630,681,Privado,F,5.2,530024
737,769,707,703,Subvencionado,M,4.6,520145
665,683,510,639,Subvencionado,M,2.2,520145
810,637,674,742,Privado,F,5.2,510145
633,620,676,723,Privado,M,4.0,510145
632,551,558,661,Municipalizado,M,3.5,510145
635,572,656,744,Privado,M,4.7,520145
683,573,578,681,Municipalizado,M,3.5,510145
831,632,641,580,Privado,M,4.5,530024
669,592,621,641,Subvencionado,M,1.0,510145
665,602,685,681,Subvencionado,F,4.5,520145
646,474,629,621,Municipalizado,M,4.0,510145
756,551,602,558,Privado,M,5.7,510145
641,585,573,701,Subvencionado,M,4.4,510145
606,514,563,559,Privado,M,2.5,530024
656,733,749,681,Privado,M,5.4,510145
620,483,486,495,Municipalizado,M,1.7,510145
668,651,624,682,Subvencionado,M,2.1,530024
620,596,611,701,Municipalizado,F,1.9,520145
661,525,644,640,Subvencionado,M,6.0,510145
774,699,720,785,Subvencionado,M,5.1,520145
830,713,791,764,Privado,M,4.3,520145
690,607,591,682,Privado,F,4.4,510145
718,725,833,687,Municipalizado,M,1.0,520145
712,721,659,762,Subvencionado,M,4.3,520145
652,626,634,641,Subvencionado,M,3.2,520145
661,578,631,537,Subvencionado,M,3.3,510145
694,558,591,619,Subvencionado,M,4.5,510145
623,613,624,580,Subvencionado,M,3.7,530024
